TechID,ModeID,VehTypeID,MassCatID,FuelID,EngineID,TransTypeID,Availability,Final_Year,HybridFlag,spec_energ_consump,spec_energ_electric,noise_class,PurchasePrice,ExpectedLifeFactor,Capacity,AveEconLife,SecondHandImportFlag,note
10,1,2,4,1,10,1,1980,2000,0,6.571950912,,0,5000,1,2,10,0,
20,1,2,4,12,10,1,1995,2010,0,9.514442444,,2,7000,1,2,10,0,
25,1,2,4,12,11,1,2010,2020,0,8.380919456,,2,6000,1,2,10,0,
26,1,2,4,12,12,1,2020,,0,7.183646202,,2,5500,1,2,10,0,
30,1,2,4,1,11,1,2000,2010,0,5.645645142,,0,5000,1,2,10,0,
40,1,2,4,1,12,1,2010,,0,4.563411236,,0,5000,1,2,10,0,
50,1,2,4,13,13,1,2015,2030,0,23.98524094,,2,7000,1,2,10,0,
60,1,2,4,13,13,1,2030,,0,19.22710991,,2,6000,1,2,10,0,
70,1,3,1,1,1,1,1980,1991,0,8.362769127,,0,10000,1,5,12,0,
80,1,3,1,1,14,1,2009,2014,0,7.309161186,,1,10000,1,5,12,0,
81,1,3,1,1,15,1,2015,2019,0,6.709961891,,1,10000,1,5,12,0,
82,1,3,1,1,16,1,2020,2024,0,6.227564812,,1,10000,1,5,12,0,
83,1,3,1,1,17,1,2025,2029,0,5.774301052,,1,10000,1,5,12,0,
84,1,3,1,1,18,1,2030,2034,0,5.354025841,,1,10000,1,5,12,0,
85,1,3,1,1,19,1,2035,2039,0,4.964342117,,1,10000,1,5,12,0,
86,1,3,1,1,20,1,2040,2044,0,4.603020191,,1,10000,1,5,12,0,
87,1,3,1,1,21,1,2045,,0,4.267995834,,1,10000,1,5,12,0,
90,1,3,1,1,3,1,1992,1995,0,7.650981903,,0,10000,1,5,12,0,
91,1,3,1,1,14,1,2009,2014,2,3.476705074,11.10237026,1,20000,1,5,12,0,
92,1,3,1,1,15,1,2015,2019,2,3.237384081,10.13988018,1,17500,1,5,12,0,
93,1,3,1,1,16,1,2020,2024,2,3.004846096,9.401866913,1,15000,1,5,12,0,
94,1,3,1,1,17,1,2025,2029,2,2.786143064,8.717565536,1,12500,1,5,12,0,
95,1,3,1,1,18,1,2030,2034,2,2.583357096,8.083071709,1,12000,1,5,12,0,
96,1,3,1,1,19,1,2035,2039,2,2.395330906,7.494758129,1,12000,1,5,12,0,
97,1,3,1,1,20,1,2040,2044,2,2.220990896,6.949262142,1,12000,1,5,12,0,
98,1,3,1,1,21,1,2045,,2,2.089088917,6.443470955,1,12000,1,5,12,0,
100,1,3,1,1,4,1,1996,1999,0,8.115560532,,1,10000,1,5,12,0,
110,1,3,1,1,5,1,2000,2004,0,8.145513535,,1,10000,1,5,12,0,
120,1,3,1,1,6,1,2005,2008,0,7.751690865,,1,10000,1,5,12,0,
130,1,3,2,1,1,1,1980,1991,0,9.42133522,,0,15000,1,5,12,0,
140,1,3,2,1,14,1,2009,2014,0,8.351344109,,1,15000,1,5,12,0,
150,1,3,2,1,3,1,1992,1995,0,8.870803833,,0,15000,1,5,12,0,
160,1,3,2,1,4,1,1996,1999,0,9.452494621,,0,15000,1,5,12,0,
161,1,3,2,1,14,1,2009,2014,2,4.012350082,22.4348793,1,25000,1,5,12,0,
162,1,3,2,1,15,1,2015,2019,2,3.740238905,20.48995972,1,22500,1,5,12,0,
163,1,3,2,1,16,1,2020,2024,2,3.471457958,18.99863052,1,20000,1,5,12,0,
164,1,3,2,1,17,1,2025,2029,2,3.218792915,17.61584091,1,18000,1,5,12,0,
165,1,3,2,1,18,1,2030,2034,2,2.984518051,16.33370018,1,18000,1,5,12,0,
166,1,3,2,1,19,1,2035,2039,2,2.76729393,15.1448698,1,18000,1,5,12,0,
167,1,3,2,1,20,1,2040,2044,2,2.56588006,14.04257965,1,18000,1,5,12,0,
168,1,3,2,1,21,1,2045,,2,2.413496017,13.02050972,1,18000,1,5,12,0,
170,1,3,2,1,5,1,2000,2004,0,9.487383842,,1,15000,1,5,12,0,
171,1,3,2,1,15,1,2015,2019,0,7.666707993,,1,15000,1,5,12,0,
172,1,3,2,1,16,1,2020,2024,0,7.115527153,,1,15000,1,5,12,0,
173,1,3,2,1,17,1,2025,2029,0,6.597634792,,1,15000,1,5,12,0,
